1890,3,11.3578,1003,4820,0
121572,1,3.07876,100000,94694,0
133301,1,6.46006,100000,57151,0
132331,1,6.52308,100000,61859,0
174033,1,6.68193,100000,85646,0
179600,1,6.52705,100000,41106,0
84821,0,13.7564,43359,51941,1
127419,1,6.5474,100000,55420,0
67032,0,13.7964,32625,33851,1
163112,1,6.67069,100000,52791,0
144579,0,13.8466,83944,49583,1
59408,0,13.7805,35671,27701,1
31927,0,13.7589,18283,19866,1
136329,1,6.77477,100000,56930,0
82387,0,13.8025,46451,55833,1
25224,0,13.7542,7561,11081,1
14490,0,13.8705,9438,10832,1
48322,0,13.8063,35176,28182,1
98982,0,13.8514,65962,40341,1
11220,0,13.8225,2855,7934,1
19056,0,13.8472,12517,20898,1
13000,0,13.7831,6098,15795,1
6607,0,13.8709,2506,7012,1
11048,0,13.7656,6717,12330,1
60093,0,13.912,46151,33102,1
83884,0,13.8925,58103,45250,1
39969,0,13.9365,19207,32057,1
9788,0,13.9122,1897,8960,1
43745,0,13.824,29973,41000,1
106710,0,13.8666,75356,53545,1
22336,0,13.976,5477,15135,1
5601,0,13.9316,1379,5588,1
73952,0,13.8028,58559,38896,1
61210,0,13.8628,39994,33599,1
25416,0,13.8171,12152,24679,1
6421,0,13.9716,1124,4341,1
6984,0,13.859,4306,9389,1
3028,0,14.0205,1092,3032,1
1782,0,13.8945,760,4250,1
1640,0,13.8276,766,2093,1
4754,0,13.798,2839,8264,1
4444,0,13.8635,2434,4335,1
17274,0,13.8442,11184,20955,1
11451,0,13.8467,5345,12769,1
17966,0,14.0506,11863,18688,1
24157,0,13.8,15319,20947,1
30426,0,13.8031,18803,28500,1
51677,0,13.8685,33933,31742,1
28222,0,13.793,16504,18166,1
21952,0,13.917,12819,22341,1
12348,0,13.9094,6104,10073,1
49642,0,13.9385,37090,26819,1
28803,0,13.9562,18787,17626,1
20023,0,13.9013,11528,20354,1
4887,0,13.7931,933,2508,1
21485,0,13.9344,16649,13417,1
33184,0,13.9337,25082,19078,1
3269,0,13.8375,202,1375,1
6641,0,13.9684,4578,9300,1
12916,0,14.0037,8394,14264,1
9244,0,14.0206,4879,10218,1
17420,0,14.053,11465,13775,1
49308,0,13.8544,36212,25328,1
4968,0,13.9739,342,2374,1
16083,0,13.8366,11343,16303,1
9268,0,13.8584,5037,9355,1
8829,0,13.7951,5432,9533,1
5911,0,13.9622,3044,6902,1
26817,0,14.0184,20126,16885,1
9539,0,14.0053,5692,5119,1
1760,0,13.8186,406,2504,1
645,0,13.9497,174,814,1
9243,0,14.1579,6288,12581,1
7123,0,14.0519,4011,7495,1
12027,0,14.0122,8076,12560,1
118210,1,0.498649,100000,104183,0
28838,0,13.6836,982,3693,1
144556,1,6.76211,100000,102086,0
136945,1,6.58704,100000,45136,0
125465,0,13.8228,83229,62657,1
124588,1,6.45737,100000,29887,0
111502,1,6.56948,100000,33840,0
85983,0,13.8524,59627,45118,1
112408,0,13.8634,78834,53114,1
149140,1,6.78745,100000,29870,0
127177,1,6.48491,100000,17382,0
18672,0,13.7582,9513,16852,1
37354,0,13.8589,28017,24136,1
107684,0,13.8075,90424,44377,1
25122,0,13.7985,11482,12086,1
38793,0,13.803,27272,26633,1
57027,0,13.8101,36560,27529,1
61691,0,13.7924,43747,27361,1
9766,0,13.791,2305,8977,1
9537,0,13.8918,5823,9095,1
10810,0,13.7999,7184,10094,1
6336,0,13.8472,3185,6239,1
14019,0,13.9098,8875,15709,1
52382,0,13.9204,35785,21995,1
47139,0,13.8415,30928,21451,1
7377,0,13.7631,2032,5212,1
5105,0,13.8937,2642,7245,1
3429,0,13.8526,1518,3720,1
5756,0,13.8644,3708,7268,1
9898,0,13.8394,5827,12169,1
11998,0,13.8581,6502,12301,1
5382,0,13.8851,1773,7385,1
10346,0,13.9746,6678,9352,1
7565,0,13.9657,4438,7243,1
18917,0,13.9621,13377,16098,1
21499,0,13.7806,15337,13534,1
14480,0,13.9341,7964,11795,1
4350,0,13.8392,1121,5908,1
2335,0,13.9674,628,3482,1
9025,0,13.7888,5502,13897,1
10564,0,13.8792,5674,9645,1
8529,0,13.7962,5239,8029,1
11363,0,13.8927,6915,12978,1
21791,0,13.8752,14457,12619,1
3752,0,13.977,807,3375,1
16329,0,13.8351,11863,13907,1
5287,0,13.7664,1889,4713,1
21076,0,13.8181,15304,14928,1
3401,0,13.9927,591,1623,1
9615,0,13.872,6227,12029,1
6045,0,13.8443,2697,6269,1
2008,0,13.8348,400,2907,1
778,0,14.1176,158,684,1
5637,0,13.8053,3732,8949,1
7492,0,13.9209,4145,8878,1
15691,0,13.8323,11061,9838,1
16276,0,13.9205,11068,10925,1
2386,0,13.9517,244,1549,1
5006,0,13.8023,2965,8899,1
5653,0,13.963,2627,8497,1
6196,0,13.7725,3175,6740,1
22519,0,13.8908,15968,14625,1
2838,0,13.9708,176,1022,1
6263,0,13.8052,3506,10031,1
6830,0,14.1726,3401,7948,1
5953,0,13.9976,3154,7229,1
1743,0,14.0725,326,1014,1
2009,0,13.855,1194,2851,1
12055,0,13.7977,8857,9665,1
2693,0,13.8779,863,1990,1
5118,0,13.9811,2648,9407,1
1822,0,14.2385,157,1033,1
2926,0,13.8771,1693,5046,1
2276,0,13.8301,962,2767,1
6712,0,14.0417,4425,8710,1
4675,2,0,3201,3202,0
1529,0,13.6415,536,2565,1
1287,0,13.6415,501,2427,1
116661,1,6.73493,100000,74597,0
137797,1,6.82323,100000,75715,0
107836,0,13.8922,69613,59325,1
65312,0,13.8329,29982,26672,1
