1205,3,10.1,1928,1318,0
586,3,10.4071,336,456,0
645,3,11.3536,166,398,0
675,3,12.2232,175,437,0
11606,3,12.3571,4691,4466,0
551,3,8.21607,179,409,0
622,3,8.54286,298,642,0
661,3,9.8,411,765,0.68
709,0,10.4,485,699,1
982,0,11,1054,1106,1
1021,0,11.0822,616,1112,1
1159,0,11.5464,714,1252,1
1926,0,12,1223,1509,1
2400,0,12.5625,2923,2007,0.99
2308,0,13,1774,2461,1
3715,0,13.0357,4412,2845,1
2175,0,13.5714,1465,1409,1
3416,0,14.1071,3293,3766,1
11294,0,13.6178,1921,2943,1
3999,0,12.9018,1027,2227,1
2975,0,13.0428,829,1890,1
1949,0,13.1625,222,1007,1
1783,0,13.4286,207,1031,1
1936,0,13.6839,169,1070,1
1405,0,12.3214,760,1183,1
1501,0,12.5071,589,1236,1
1350,0,12.6821,513,1144,1
1244,0,12.8464,425,920,1
1323,0,13.2,281,887,1
1362,0,13.5536,74,515,1
1823,0,13.9071,183,981,1
1819,0,11.6679,303,825,1
1673,0,11.9571,847,1257,1
1535,0,12.2464,714,1413,1
1689,0,12.5357,737,1410,1
1881,0,12.825,1595,1623,1
2703,0,12.8714,1054,1437,1
2059,0,12.9071,1075,2374,1
2088,0,13.1857,1658,2073,1
2191,0,13.2054,1150,1807,1
1886,0,13.2143,688,1110,1
1666,0,13.2125,442,1224,1
1730,0,13.475,229,823,1
2370,0,13.7375,981,2207,1
2798,0,14,1430,2399,1
1842,0,13.0982,103,591,1
1842,0,13.3393,99,582,1
2096,0,13.2786,99,665,1
1603,0,13.5143,120,492,1
1786,0,13.75,66,502,1
2304,3,10.1,964,932,0.82
2246,0,10.6839,1022,843,0.88
1944,0,11.1714,203,421,0.87
1943,0,12.0911,164,397,0.87
3100,0,13.1429,143,581,0.8
1958,0,8.13928,157,541,0.84
1887,0,8.54286,175,428,0.91
2075,3,9.1,249,597,0.86
2111,0,9.84287,417,642,1
2199,0,10.3125,451,659,1
2266,0,10.9786,570,925,1
2541,0,11.0018,606,1060,1
3143,0,11.5429,1752,1099,1
3156,0,12.0839,1889,1407,1
3570,0,12.5,1314,1865,1
5287,0,12.9054,4385,2188,0.99
4687,0,13.4357,3930,3386,1
3787,0,13.2607,1808,1666,1
4664,0,13.6178,1474,2291,1
10025,0,13.9643,10147,10765,0.99
7274,0,12.8857,1574,2699,1
5108,0,12.8375,683,1754,1
4666,0,12.7571,399,1429,1
4004,0,13.1643,322,1070,1
3887,0,13.3929,201,953,1
3546,0,13.6107,164,1028,1
2787,0,12.6821,489,1066,1
2832,0,12.8464,572,1039,1
2744,0,12.8,796,1066,1
2775,0,12.7321,294,820,1
2806,0,13.0643,235,877,1
2835,0,13.3964,65,464,1
3391,0,13.7286,222,754,1
3492,0,11.7929,284,792,1
2964,0,11.8393,176,666,1
3093,0,12.1125,1074,1075,1
3687,0,12.1429,419,887,1
3201,0,12.4107,404,1027,1
3386,0,12.6786,408,1104,1
3513,0,12.9464,1248,2199,1
3849,0,12.95,2578,1913,1
3434,0,13.2125,847,1973,1
3264,0,13.2,516,1228,1
3247,0,13.4571,492,1015,1
3792,0,13.4286,598,1111,1
3147,0,13.3893,217,712,1
4021,0,13.9321,658,1753,1
4674,0,13.8821,685,1360,1
3424,0,13.2071,84,500,1
3178,0,13.125,79,521,1
3503,0,10.1,791,911,0.96
3841,0,11.0714,1542,1208,0.97
3614,0,10.8071,479,557,1
3396,0,11.4964,188,398,0.99
3761,0,12.5,154,426,0.99
5094,0,13.5143,288,722,0.85
3804,0,8.29643,143,516,0.98
3430,0,9.1,262,581,0.98
3563,0,9.37858,205,532,1
3585,0,9.91964,316,611,1
3685,0,10.3571,336,651,1
3796,0,10.8929,450,764,1
3947,0,11.4286,475,861,1
4574,0,11.3661,752,1099,1
4072,0,11.875,886,1328,1
5519,0,12.3839,2776,1566,1
5212,0,12.8929,2235,1933,1
5995,0,13.6839,4619,3672,1
4936,0,13.1786,952,1820,1
5498,0,13.6607,1722,1725,1
8201,0,13.9857,5937,5469,1
23954,0,13.8125,5870,4971,1
